,0,1,2,3,4,5,6,7,8,9
0,3149,5545,3583,2312,1145,6934,1092,9592,14722,1914
1,0,2312,8063,14917,10567,2094,5030,15029,5912,7784
2,794,3090,14917,2779,15029,2213,6932,9592,14722,2685
3,11757,319,1321,12481,2468,14422,318,2294,813,2886
4,996,13273,2002,15847,7422,712,6936,4285,2366,2843
5,3770,1168,4226,9704,7356,4432,16182,13313,2958,4860
6,1012,7536,12099,6521,15041,14012,4045,432,2606,5883
7,6002,160,1852,2039,6203,6471,6081,4819,1408,11809
8,164,7725,163,6330,5474,11838,725,162,15412,7535
9,854,3810,5052,6867,788,4076,7079,3075,2414,2392
10,11346,5487,546,1508,4598,1952,8831,10244,6026,3904
11,12297,3111,3507,4789,1102,5997,426,420,13656,9823
12,7356,1168,8127,5708,5294,1059,7014,5,5198,15955
13,2621,1117,1097,873,4460,8727,3807,2117,1906,11650
14,11201,646,13313,9404,13227,93,1386,10833,4704,5986
15,4562,16064,15212,3377,11614,5755,2612,7001,5959,332
16,827,6593,13508,1384,374,683,1885,841,1545,3283
17,15273,13133,14382,11067,4151,11172,10019,8484,4063,238
18,10119,9891,3700,5068,1457,533,6803,9740,11370,1855
19,1686,2109,2545,9689,1666,4713,8326,11856,10553,423
20,2351,21,1419,5912,22,2920,5911,10567,1799,2918
21,2351,20,438,1006,4995,2919,2918,1924,2858,205
22,2920,20,3019,8148,6690,5553,5362,1563,3429,2187
23,5340,10250,5850,11591,5849,2603,9574,14383,12027,13667
24,8555,1364,427,7096,6701,710,428,13883,5856,2074
25,11350,5808,10705,6061,15481,10761,3737,8819,6442,4103
26,5383,359,5072,5845,14522,9544,14485,14795,1268,4664
27,6253,5072,366,1718,410,8500,2313,12103,13969,973
28,152,13687,5116,13140,13921,16,2772,4062,3783,143
29,5709,766,1013,2328,266,7957,2457,2589,5856,5336
30,773,31,272,1909,5083,884,10215,2559,3663,2104
31,773,30,1909,272,5083,884,10215,1919,2104,2770
32,10537,7635,2093,4681,11201,11749,6892,3732,2128,13646
33,5950,1456,5545,7255,5393,14710,2213,3279,8124,12088
34,359,3296,1437,1473,10981,3369,4733,8191,216,5769
35,5912,5911,9526,10567,3018,1801,5033,14691,15432,931
36,2843,3166,91,10722,1116,367,3232,2389,14467,1804
37,5856,1116,14159,11525,3051,2843,2363,1964,4632,266
38,11458,14411,15051,9064,15695,16168,12029,14800,14826,13408
39,643,6868,74,2388,1646,13180,10878,1820,13337,9451
40,5358,871,8668,11526,1552,4639,879,10040,2391,1060
41,5110,108,6943,4447,6937,5665,15827,16013,1109,7635
42,634,4239,3536,10598,10499,8728,13227,2888,3210,4530
43,1473,10593,259,431,2510,1066,501,7848,4872,12076
44,173,11469,1926,7217,4163,11201,4712,5079,1575,1613
45,46,6888,1493,2502,1651,2518,6291,4753,11598,4585
46,45,6888,1493,10974,6050,16105,6449,16026,11534,2502
47,10790,13769,9928,6455,8189,112,8277,11316,9923,13313
48,12149,4267,1257,3346,4589,13840,1579,8660,869,12910
49,10702,2527,13554,2190,7342,4050,13469,4685,399,1158
50,11546,15909,1354,10176,4754,6100,4783,2363,324,6838
51,10090,53,52,2167,93,9745,10833,4704,1386,13313
52,10090,53,51,1413,13313,646,5986,2439,6801,1391
53,10090,52,51,7866,6608,3564,7128,5214,9948,3894
54,3254,4783,2519,6822,12100,1367,9868,186,10790,5883
55,5912,5911,9526,10567,5033,14691,15432,2688,5920,1144
56,3389,1664,57,5312,9762,5848,6770,11922,13351,8415
57,56,1664,3389,5312,5848,8395,12482,5772,6264,9762
58,1592,11201,13227,5693,10178,9571,7522,9404,12706,9909
59,965,65,64,71,66,61,10103,69,15185,63
60,61,63,64,62,10103,965,59,10674,14429,13255
61,965,59,64,63,60,65,71,10103,5235,15185
62,60,13743,2869,5912,1712,1713,5235,5911,9526,11254
63,2291,64,10103,61,59,60,965,65,66,71
64,59,65,965,63,10103,61,60,11751,13255,66
65,59,64,965,71,61,66,10103,11751,69,63
66,59,965,13255,65,71,967,64,63,15185,3908
67,71,59,13255,65,965,11254,1972,74,68,5235
68,71,59,759,65,965,2671,61,13255,10103,66
69,59,71,72,65,2542,1126,39,9806,74,1972
70,1972,11254,72,12141,8131,12441,59,10423,965,71
71,59,965,92,7030,65,3625,13255,4028,1272,68
72,69,1106,71,70,11254,59,65,8063,73,12141
73,72,11254,3661,12141,1106,966,12441,1274,70,1972
74,39,59,2388,5837,69,1166,643,10878,3752,9806
75,7246,1997,5579,1711,4930,13824,1712,3018,6211,2668
76,1829,9592,3508,3758,3052,3583,14798,6938,14235,1039
77,11205,6200,10166,2104,5009,2358,5489,8728,623,13721
78,1442,4999,3599,1494,12739,8652,2840,7465,10166,1367
79,14391,831,6852,6421,1771,1632,1633,16065,318,1104
80,3482,1015,2423,645,5654,3877,4569,9032,4427,502
81,689,10601,13646,5632,2137,13574,15837,1568,12701,123
82,4977,7035,1821,5181,5010,11176,11173,8050,15400,6998
83,1134,3794,6688,3355,2313,14666,13287,879,14786,4115
84,5632,11888,14,7536,432,6676,6320,4949,7082,15041
85,6189,2367,5242,3823,1473,920,663,9520,431,1413
86,15545,6575,794,4770,2843,2043,7255,15372,792,2224
87,3587,8203,8402,7524,2089,14250,5423,11058,3542,6946
88,8674,1147,1648,10817,2680,13428,3583,15689,9495,1553
89,14161,1693,8706,11005,7177,1910,11901,8581,2799,2284
90,12194,4282,5149,1115,2806,1232,5709,1189,5390,285
91,2843,1279,36,1117,1785,880,712,9558,1605,1813
92,7030,71,1261,3175,6934,1272,3247,1823,7920,6270
93,13313,10833,3894,6009,7128,757,8461,3770,6470,5986
94,6824,9596,778,15909,3377,15426,13968,1115,14459,14757
95,15909,96,673,14658,15095,10990,7067,501,2904,7065
96,95,15909,4754,3057,3536,501,9603,6100,1389,4213
97,3327,14459,1706,7744,792,899,388,1034,3444,10903
98,331,6421,9948,2907,12840,3605,11415,2176,6852,5011
99,13805,14856,12264,14612,10665,7348,5316,15123,8706,12242
100,3446,4921,392,3937,127,607,4711,5594,12349,11650
101,6830,13637,5162,7580,230,9481,15741,14444,13037,9004
102,7522,15675,346,410,15674,6200,12737,345,11037,12885
103,346,9068,11739,1831,6200,8974,3700,2380,13836,1771
104,9928,8106,8093,7000,7651,8277,13769,10233,774,12706
105,8581,6394,8606,10013,9908,13127,7196,104,404,3725
106,1759,107,1415,10052,2167,10170,186,580,8864,1761
107,6627,106,10567,1274,3598,5019,6931,5912,6640,35
108,4681,6937,4447,6943,7635,3735,5110,14522,354,1109
109,110,108,2025,8677,5032,8039,1565,410,11641,932
110,109,108,10910,1565,11565,16106,410,413,551,9747
111,14607,9400,14810,4920,12995,13727,8026,15399,15402,6364
112,8277,774,13313,8189,6455,2377,2167,11570,13769,9381
113,11224,12661,10116,15137,1798,2002,2673,5413,14710,5912
114,7279,603,12824,5561,16026,13344,13807,10832,15079,1013
115,5660,7238,6251,6946,4554,7798,1842,3240,6612,2624
116,117,118,6612,5660,7798,9469,5873,5798,4311,5460
117,118,7279,15079,603,16026,15535,12564,12824,6981,9280
118,117,15079,7279,10027,6981,15207,16026,15535,2374,9280
119,743,15191,1700,4825,6297,14502,12487,1589,7486,6925
120,14522,3735,4447,108,6937,11201,15596,58,1592,1656
121,5339,6822,2002,15041,656,405,12296,1420,3859,11546
122,1331,3482,3557,636,616,312,1470,6852,15857,98
123,2748,12909,13576,663,757,14400,4940,93,2167,13646
124,4997,5987,404,5214,2719,245,2167,1162,3278,1160
125,757,2455,432,5539,5429,140,7270,6980,5883,11410
126,8876,5632,15417,13256,1495,15837,4377,6750,5616,8367
127,12349,9306,3264,8151,860,3326,8071,6899,6267,6789
128,370,5441,5515,14622,13138,5650,238,9851,5328,9534
129,2115,12772,1609,1444,1006,3961,1321,2059,10062,1352
130,394,3056,3240,841,1545,6533,9495,1117,2077,7238
131,829,9112,4132,12723,15361,15869,14383,3844,3678,3036
132,15550,10128,1003,10359,741,1116,6364,8674,10691,421
133,134,1717,1913,1804,2542,3166,3999,1321,14467,1039
134,133,1005,9289,1717,15456,3166,741,2363,15197,2441
135,1411,1346,8728,2033,2482,1266,1730,449,13227,213
136,1503,2897,405,8277,10790,8657,2760,1367,3841,2759
137,2843,91,2363,266,1117,9952,1174,5856,8895,818
138,9824,13690,9805,3639,10177,6091,3381,1116,10426,15204
139,10648,11106,5401,5072,6935,9348,10866,4384,5381,4139
140,8949,2547,757,5539,11610,5151,5883,7765,5429,8856
141,3329,15840,9977,14654,15079,10370,4182,7279,14224,6762
142,2751,1576,1477,12580,9571,10,217,7676,644,2364
143,675,3123,28,10213,1719,174,3276,1648,522,1894
144,4867,9348,10462,4384,5381,6369,12417,9895,2765,180
145,2751,3285,5607,1477,15197,5856,12893,266,11828,14159
